Date,Close
2004-08-19,50.12
2004-08-20,54.1
2004-08-23,54.65
2004-08-24,52.38
2004-08-25,52.95
2004-08-26,53.9
2004-08-27,53.02
2004-08-30,50.95
2004-08-31,51.13
2004-09-01,50.07
2004-09-02,50.7
2004-09-03,49.95
2004-09-07,50.74
2004-09-08,51.1
2004-09-09,51.1
2004-09-10,52.61
2004-09-13,53.7
2004-09-14,55.69
2004-09-15,55.94
2004-09-16,56.93
2004-09-17,58.69
2004-09-20,59.62
2004-09-21,58.86
2004-09-22,59.13
2004-09-23,60.35
2004-09-24,59.86
2004-09-27,59.07
2004-09-28,63.37
2004-09-29,65.47
2004-09-30,64.74
2004-10-01,66.22
2004-10-04,67.46
2004-10-05,69.12
2004-10-06,68.47
2004-10-07,69.36
2004-10-08,68.8
2004-10-11,67.56
2004-10-12,68.63
2004-10-13,70.38
2004-10-14,70.93
2004-10-15,71.98
2004-10-18,74.51
2004-10-19,73.9
2004-10-20,70.17
2004-10-21,74.62
2004-10-22,86.13
2004-10-25,93.61
2004-10-26,90.81
2004-10-27,92.89
2004-10-28,96.55
2004-10-29,95.22
2004-11-01,97.92
2004-11-02,97.34
2004-11-03,95.74
2004-11-04,92.26
2004-11-05,84.59
2004-11-08,86.19
2004-11-09,84.27
2004-11-10,83.85
2004-11-11,91.42
2004-11-12,90.91
2004-11-15,92.34
2004-11-16,86.19
2004-11-17,86.16
2004-11-18,83.69
2004-11-19,84.62
2004-11-22,82.47
2004-11-23,83.68
2004-11-24,87.29
2004-11-26,89.61
2004-11-29,90.43
2004-11-30,90.9
2004-12-01,89.89
2004-12-02,89.61
2004-12-03,90.11
2004-12-06,88.06
2004-12-07,85.63
2004-12-08,84.91
2004-12-09,86.63
2004-12-10,85.74
2004-12-13,85.14
2004-12-14,89.26
2004-12-15,89.8
2004-12-16,88.15
2004-12-17,89.95
2004-12-20,92.42
2004-12-21,91.78
2004-12-22,93.06
2004-12-23,93.86
2004-12-27,95.86
2004-12-28,96.28
2004-12-29,96.35
2004-12-30,98.7
2004-12-31,96.3
2005-01-03,101.25
2005-01-04,97.15
2005-01-05,96.66
2005-01-06,94.18
2005-01-07,96.83
2005-01-10,97.43
2005-01-11,96.67
2005-01-12,97.59
2005-01-13,97.57
2005-01-14,99.89
